Steps,array0,array1,array2
903,515,520,350
904,519,520,359
905,506,511,540
906,550,595,623
907,498,613,645
908,544,608,690
909,523,608,698
910,508,597,710
911,505,591,740
912,515,606,743
913,504,605,746
914,506,595,723
915,508,601,718
916,496,592,711
917,502,588,720
918,497,585,732
919,504,588,737
920,503,597,729
921,502,589,732
922,509,592,727
923,504,588,722
924,507,590,720
925,502,582,724
926,501,587,723
927,504,591,726
928,502,587,724
929,507,589,731
930,506,582,727
931,506,584,726
932,503,586,725
933,504,584,724
934,504,584,724
935,500,587,724
936,504,585,721
937,503,586,721
938,507,590,720
939,507,580,724
940,505,582,730
941,501,579,718
942,503,587,718
943,498,585,722
944,503,583,715
945,498,583,726
946,495,579,713
947,508,582,707
948,499,579,726
949,502,585,720
950,503,583,719
951,507,578,730
952,495,583,728
953,496,580,729
954,502,575,725
955,489,564,727
956,497,574,733
957,489,572,738
958,485,574,737
959,488,578,738
960,493,571,733
961,485,570,734
962,487,567,738
963,491,563,730
964,494,564,735
965,491,560,731
966,487,558,724
967,501,564,728
968,496,565,727
969,495,565,721
970,493,555,732
971,498,560,738
972,494,561,737
973,491,563,733
974,495,562,739
975,488,553,740
976,496,548,735
977,497,546,736
978,495,547,736
979,498,543,734
980,497,546,737
981,499,548,733
982,498,548,735
983,497,550,737
984,498,543,740
985,490,543,738
986,490,542,743
987,495,541,734
988,491,543,738
989,495,542,739
990,493,532,740
991,499,537,741
992,498,538,740
993,495,542,735
994,494,538,739
995,495,537,738
996,494,532,741
997,495,530,740
998,492,530,740
999,496,531,746
1000,494,532,732
1001,491,542,715
1002,495,540,729
1003,494,529,748
1004,497,527,747
1005,494,529,745
1006,493,530,747
1007,491,529,750
1008,491,530,746
1009,494,530,740
1010,495,528,743
1011,494,526,747
1012,492,526,744
1013,494,526,742
1014,494,526,743
1015,494,526,740
1016,494,527,739
1017,495,526,737
1018,494,528,735
1019,497,525,738
1020,495,527,736
1021,497,527,738
1022,493,527,737
1023,493,527,739
1024,493,527,736
1025,493,527,736
1026,496,528,739
1027,492,528,737
1028,493,527,740
1029,493,527,738
1030,493,526,738
1031,491,528,737
1032,491,527,739
1033,504,518,755
1034,496,526,742
1035,491,528,737
1036,491,527,739
1037,493,527,738
1038,495,528,737
1039,490,528,735
1040,493,526,739
1041,488,527,740
1042,490,530,735
1043,495,522,736
1044,493,529,736
1045,487,527,739
1046,493,528,736
1047,488,529,733
1048,482,529,733
1049,486,530,743
1050,487,532,741
1051,491,525,737
1052,499,524,736
1053,504,521,736
1054,503,521,734
1055,497,523,738
1056,498,523,740
1057,498,525,737
1058,498,522,739
1059,495,521,739
1060,498,525,739
1061,491,526,736
1062,486,528,739
1063,489,520,738
1064,493,525,739
1065,493,528,734
1066,497,530,735
1067,500,520,737
1068,500,524,745
1069,506,518,736
1070,499,527,740
1071,496,526,738
1072,494,525,740
1073,491,523,735
1074,492,522,733
1075,493,526,734
1076,496,526,735
1077,490,527,737
1078,496,522,737
1079,498,516,737
1080,494,513,742
1081,496,518,737
1082,494,522,737
1083,490,524,740
1084,492,527,740
1085,491,525,741
1086,490,523,745
1087,495,518,743
1088,497,520,737
1089,498,522,735
1090,501,521,733
1091,501,523,736
1092,502,520,735
1093,498,519,743
1094,499,520,739
1095,502,518,737
1096,496,523,738
1097,497,523,736
1098,494,523,737
1099,496,524,737
1100,493,522,740
1101,496,520,739
