Steps,array0,array1,array2
1047,505,506,347
1048,505,506,347
1049,506,506,347
1050,504,506,347
1051,506,506,346
1052,506,506,346
1053,505,506,345
1054,505,505,347
1055,505,505,346
1056,505,506,346
1057,505,506,347
1058,505,506,348
1059,505,506,347
1060,505,506,346
1061,505,506,346
1062,505,505,346
1063,504,507,346
1064,505,506,346
1065,505,506,346
1066,505,506,346
1067,505,506,347
1068,506,506,347
1069,506,506,347
1070,505,506,347
1071,505,506,346
1072,505,505,348
1073,506,506,347
1074,505,505,347
1075,505,506,346
1076,505,506,346
1077,505,505,347
1078,505,506,346
1079,504,505,347
1080,504,506,347
1081,506,505,346
1082,505,506,346
1083,505,506,347
1084,505,506,347
1085,506,506,346
1086,506,506,346
1087,505,505,346
1088,505,506,347
1089,505,505,346
1090,506,506,347
1091,505,506,346
1092,505,506,347
1093,505,506,347
1094,505,506,347
1095,504,506,347
1096,504,506,348
1097,505,506,348
1098,505,506,347
1099,505,506,345
1100,505,506,346
1101,504,506,348
1102,505,506,346
1103,506,506,345
1104,505,505,346
1105,502,509,344
1106,505,506,347
1107,505,505,347
1108,506,506,347
1109,505,506,346
1110,505,506,348
1111,505,505,347
1112,505,505,348
1113,505,505,348
1114,505,504,348
1115,504,504,347
1116,505,503,348
1117,504,501,349
1118,506,502,345
1119,505,499,345
1120,507,497,349
1121,500,496,347
1122,504,496,342
1123,505,497,343
1124,506,498,350
1125,505,499,348
1126,506,503,347
1127,504,504,341
1128,506,501,345
1129,506,505,348
1130,507,505,337
1131,490,521,334
1132,501,547,337
1133,502,495,347
1134,501,555,325
1135,495,596,358
1136,496,611,382
1137,495,608,321
1138,517,605,361
1139,518,613,389
1140,493,610,406
1141,501,604,394
1142,498,604,382
1143,491,636,379
1144,489,612,377
1145,482,601,380
1146,496,615,423
1147,424,692,448
1148,470,689,416
1149,476,667,435
1150,477,675,441
1151,464,699,454
1152,447,730,460
1153,471,698,470
1154,481,691,497
1155,470,714,514
1156,484,715,549
1157,479,713,557
1158,474,713,576
1159,494,723,593
1160,494,721,614
1161,498,678,635
1162,532,719,659
1163,511,643,672
1164,498,633,670
1165,499,656,693
1166,495,673,692
1167,494,649,707
1168,488,634,699
1169,494,641,710
1170,495,593,707
1171,499,602,737
1172,495,620,748
1173,493,596,704
1174,480,601,736
1175,485,587,737
1176,480,574,730
1177,468,575,726
1178,488,562,745
1179,481,566,740
1180,460,565,698
1181,486,562,700
1182,499,567,744
1183,513,585,760
1184,499,554,732
1185,494,556,740
1186,499,540,738
1187,499,537,740
1188,500,530,742
1189,497,525,748
1190,496,521,743
1191,495,526,739
1192,498,525,736
1193,497,520,738
1194,498,524,738
1195,498,523,738
1196,497,521,738
1197,497,522,738
1198,498,522,736
1199,494,518,735
1200,504,522,718
1201,499,516,738
1202,499,516,739
1203,498,515,738
1204,500,516,739
1205,498,515,739
1206,499,516,738
1207,481,514,736
1208,504,515,736
1209,504,516,739
1210,500,515,738
1211,500,516,737
1212,500,516,739
1213,500,516,738
1214,500,516,738
1215,500,516,738
1216,501,516,739
1217,500,516,738
1218,501,516,738
1219,500,516,738
1220,500,516,737
1221,500,516,738
1222,500,515,739
1223,500,515,738
1224,500,515,738
1225,500,516,739
1226,500,516,739
1227,499,516,739
1228,500,516,738
1229,500,516,739
1230,500,516,737
1231,499,515,738
1232,500,516,738
1233,501,515,738
1234,500,516,737
1235,500,516,738
